DraftYear,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,PasAtt,PasYds,PasTD,Int,RusAtt,RusYds,RusTD,Rec,RecYds,RecTD,Solo,DefInt,Sk,College/Univ
2023,5,148,CHI,Noah Sewell,LB,22,2023,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,4,,,Oregon
2018,2,47,ARI,Christian Kirk,WR,21,2023,0,0,5,39,23,85,2,4,32,0,0,22,159,0,377,4797,28,1,,,Texas A&M
2023,5,151,SEA,Mike Morris,DE,22,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,Michigan
2023,5,152,DET,Colby Sorsdal,OL,23,2023,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,,,,William & Mary
2023,5,153,TAM,SirVocea Dennis,LB,23,2023,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,11,,,Pittsburgh
2023,5,154,SEA,Olusegun Oluwatimi,C,24,2023,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan
2023,5,155,SFO,Darrell Luter,CB,23,2023,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,,,South Alabama
2023,5,156,LAC,Jordan McFadden,OL,23,2023,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson
2023,5,157,BAL,Kyu Blu Kelly,CB,22,2023,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,5,,,Stanford
2023,5,158,IND,Daniel Scott,S,24,,0,0,0,,,,,,,,,,,,,,,,,,California
2022,2,34,GNB,Christian Watson,WR,23,2023,0,0,1,11,11,23,0,0,0,0,0,11,91,2,69,1033,12,,,,North Dakota St.
2023,5,160,JAX,Antonio Johnson,DB,21,2023,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,13,2,1,Texas A&M
2023,5,161,LAR,Nick Hampton,OLB,23,2023,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,2,,,Appalachian St.
2022,4,106,TAM,Cade Otton,TE,23,2023,0,0,1,7,7,33,0,0,0,0,0,0,0,0,89,846,6,5,,,Washington
2014,2,57,SFO,Carlos Hyde,RB,23,2021,0,0,4,32,18,102,0,0,0,0,0,1225,4979,37,157,867,3,,,,Ohio St.
2023,5,165,CHI,Terell Smith,DB,24,2023,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,37,,,Minnesota
2023,5,166,KAN,BJ Thompson,DE,24,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,S.F. Austin
2023,5,167,HOU,Henry To'oTo'o,LB,22,2023,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,35,,,Alabama
2023,5,168,ARI,Owen Pappoe,LB,22,2023,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,5,,,Auburn
2023,5,169,DAL,Asim Richards,OL,22,2023,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina
2023,5,170,LVR,Christopher Smith,DB,23,2023,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,1,,,Georgia
2024,4,123,HOU,Cade Stover,TE,24,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.
2023,5,173,SFO,Robert Beal,OLB,24,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,,1,Georgia
2023,5,174,LAR,Warren McClendon,OL,22,2023,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia
2019,7,254,ARI,Caleb Wilson,TE,23,2020,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA
2014,3,69,TAM,Charles Sims,RB,23,2017,0,0,0,13,13,47,0,0,0,0,0,245,958,2,129,1190,6,,,,West Virginia
2016,6,199,CIN,Cody Core,WR,22,2019,0,0,0,3,3,51,0,0,0,0,0,0,0,0,33,388,1,12,,,Mississippi
2023,6,178,DAL,Eric Scott,DB,25,,0,0,0,,,,,,,,,,,,,,,,,,Southern Miss
2023,6,179,GNB,Karl Brooks,DT,23,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,12,,4,Bowling Green
2023,6,180,ARI,Kei'Trel Clark,DB,22,2023,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,37,,,Louisville
2023,6,181,TAM,Josh Hayes,CB,24,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,9,,,Kansas St.
2023,6,182,LAR,Tre'Vius Tomlinson,CB,22,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,11,,,TCU
