Season,Rank,Player,School,Power5,Conference,Division,Cl,Pos,G,Rec,Rec Yds,Rec TD
2018,167,Marquez Callaway,Tennessee,Y,SEC,FBS,Jr.,WR,12,37,592,2
2013,216,Marquez North,Tennessee,Y,SEC,FBS,Fr.,WR,11,38,496,1
2019,53,Marquez Stevenson,Houston,N,AAC,FBS,Jr.,WR,12,52,907,9
2018,31,Marquez Stevenson,Houston,N,AAC,FBS,So.,WR,13,75,1019,9
2017,49,Marquez Valdes-Scantling,South Fla.,N,AAC,FBS,Sr.,WR,12,53,879,6
2023,75,Marquis Buchanan,Rhode Island,N,CAA,FCS,So.,WR,11,42,638,4
2013,116,Marquis Fruge',Southeastern La.,N,Southland,FCS,Sr.,WR,14,39,630,7
2013,383,Marquis Green,Chattanooga,N,SoCon,FCS,Jr.,RB,12,31,284,3
2013,372,Marquis Mosley,SFA,N,Southland,FCS,Jr.,WR,11,22,292,4
2015,143,Marquis Warford,Alcorn,N,SWAC,FCS,Jr.,WR,13,36,478,4
2018,8,Marquise Brown,Oklahoma,Y,Big 12,FBS,Jr.,WR,14,75,1318,10
2017,19,Marquise Brown,Oklahoma,Y,Big 12,FBS,So.,WR,13,57,1095,7
2018,40,Marquise Irvin,Mercer,N,SoCon,FCS,Sr.,WR,11,54,814,5
2017,123,Marquise Irvin,Mercer,N,SoCon,FCS,Jr.,WR,11,41,536,4
2016,56,Marquise Irvin,Mercer,N,SoCon,FCS,So.,WR,11,65,766,7
2022,30,Marshel Martin,Sacramento St.,N,Big Sky,FCS,Jr.,TE,13,65,879,12
2021,82,Marshel Martin,Sacramento St.,N,Big Sky,FCS,So.,TE,11,53,649,6
2021,189,Marshon Ford,Louisville,Y,ACC,FBS,So.,TE,13,49,550,2
2013,81,Martavis Bryant,Clemson,Y,ACC,FBS,Jr.,WR,13,42,828,7
2018,80,Martin Dorsey,Holy Cross,N,Patriot,FCS,Sr.,WR,11,52,663,7
2017,106,Martin Dorsey,Holy Cross,N,Patriot,FCS,Jr.,WR,11,43,590,2
2014,181,Marvante King,Ark.-Pine Bluff,N,SWAC,FCS,---,,11,26,494,3
2017,59,Marven Beauvais,Rhode Island,N,CAA,FCS,Jr.,WR,11,46,732,5
2023,10,Marvin Harrison Jr.,Ohio St.,Y,Big Ten,FBS,Jr.,WR,12,67,1211,14
2022,6,Marvin Harrison Jr.,Ohio St.,Y,Big Ten,FBS,So.,WR,13,77,1263,14
2020,63,Marvin Mims,Oklahoma,Y,Big 12,FBS,Fr.,WR,11,37,610,9
2022,19,Marvin Mims Jr.,Oklahoma,Y,Big 12,FBS,Jr.,WR,13,54,1083,6
2021,103,Marvin Mims Jr.,Oklahoma,Y,Big 12,FBS,So.,WR,13,32,705,5
2013,337,Marvin Poole,N.C. Central,N,MEAC,FCS,Sr.,WR,12,24,315,1
2022,147,Mason Pierce,McNeese,N,Southland,FCS,Jr.,WR,11,40,512,2
2016,113,Mason Rutherford,Delaware St.,N,MEAC,FCS,Jr.,WR,11,42,564,1
2013,239,Mason Rutherford,Morehead St.,N,Pioneer,FCS,Fr.,WR,12,38,396,3
2016,144,Mason Schreck,Buffalo,N,MAC,FBS,Sr.,TE,12,59,651,4
2023,39,Mason Tipton,Yale,N,Ivy League,FCS,Sr.,WR,10,52,786,10
2021,112,Mason Tipton,Yale,N,Ivy League,FCS,Jr.,WR,10,27,570,3
2019,121,Matt Bushman,BYU,N,FBS Independent,FBS,Jr.,TE,13,47,688,4
2014,119,Matt Colvin,Howard,N,MEAC,FCS,Jr.,WR,12,41,611,1
2013,318,Matt Colvin,Howard,N,MEAC,FCS,So.,WR,9,25,331,2
2014,150,Matt Costello,Princeton,N,Ivy League,FCS,Sr.,WR,10,46,530,4
2013,150,Matt Costello,Princeton,N,Ivy League,FCS,Jr.,WR,10,48,534,2
2013,32,Matt Hazel,Coastal Carolina,N,Big South,FCS,Sr.,WR,14,70,990,9
2022,49,Matt Landers,Arkansas,Y,SEC,FBS,Sr.,WR,13,47,901,8
2013,23,Matt Miller,Boise St.,N,Mountain West,FBS,Jr.,WR,13,88,1140,12
2016,58,Matt Mrazek,Lafayette,N,Patriot,FCS,Jr.,WR,11,71,755,8
2017,140,Matt Sewall,Bryant,N,NEC,FCS,Sr.,WR,10,46,502,6
2016,138,Matt Sewall,Bryant,N,NEC,FCS,Jr.,WR,11,39,522,7
2023,32,Matt Stianche,Marist,N,Pioneer,FCS,Jr.,WR,11,55,803,7
2015,59,Matt Tralli,Marist,N,Pioneer,FCS,Sr.,WR,11,53,746,4
2014,109,Matt Tralli,Marist,N,Pioneer,FCS,Sr.,WR,11,69,626,2
2013,151,Matt Tralli,Marist,N,Pioneer,FCS,Jr.,WR,11,50,533,4
2015,114,Matt VandeBerg,Iowa,Y,Big Ten,FBS,Jr.,WR,14,65,703,4
2013,253,Matt Waters,Ohio,N,MAC,FBS,Sr.,WR,11,32,446,3
2015,152,Matt Welser,Buffalo,N,MAC,FBS,Sr.,TE,12,63,625,3
2020,138,Matt Wilcox Jr.,Eastern Ky.,N,OVC,FCS,Sr.,WR,8,26,229,3
2022,170,Matthew Golden,Houston,N,AAC,FBS,Fr.,WR,11,38,584,7
2018,89,Matthew Gonzalez,Robert Morris,N,NEC,FCS,Jr.,TE,11,40,642,12
2013,395,Matthew Nicholson,VMI,N,Big South,FCS,Fr.,WR,12,14,269,4
2023,33,Matthew Prochaska,Bryant,N,OVC,FCS,Sr.,WR,11,44,801,4
2021,59,Matthew Rivera,Presbyterian,N,Pioneer,FCS,So.,WR,11,66,722,5
2019,70,Maurice Ffrench,Pittsburgh,Y,ACC,FBS,Sr.,WR,11,96,850,4
2022,137,Maurice Massey,Southeastern La.,N,Southland,FCS,Fr.,WR,12,40,525,4
2019,176,Max Borghi,Washington St.,Y,Pac-12,FBS,So.,RB,13,86,597,5
2020,88,Max Brimigion,VMI,N,SoCon,FCS,So.,WR,8,33,296,1
2015,143,Max McCaffrey,Duke,Y,ACC,FBS,Sr.,WR,13,52,643,5
2015,158,Max Morrison,Cincinnati,N,AAC,FBS,Sr.,WR,13,52,617,3
2013,252,Max Morrison,Cincinnati,N,AAC,FBS,So.,WR,13,29,447,3
2023,63,Max Tomczak,Youngstown St.,N,MVFC,FCS,So.,WR,13,56,669,1
2016,103,Maximo Espitia,Portland St.,N,Big Sky,FCS,Jr.,TE,11,33,592,3
2014,172,Maxx Williams,Minnesota,Y,Big Ten,FBS,So.,TE,12,36,569,8
2013,280,Maxx Williams,Minnesota,Y,Big Ten,FBS,Fr.,TE,13,25,417,5
2018,60,McLane Mannix,Nevada,N,Mountain West,FBS,So.,WR,12,50,875,7
2017,76,Mclane Mannix,Nevada,N,Mountain West,FBS,Fr.,WR,12,57,778,6
2023,108,Mekai Felton,Fordham,N,Patriot,FCS,Sr.,WR,11,50,544,8
2022,137,Mekai Felton,Fordham,N,Patriot,FCS,Jr.,WR,11,37,525,6
2014,96,Mekale McKay,Cincinnati,N,AAC,FBS,Jr.,WR,13,44,725,8
2013,220,Mekale McKay,Cincinnati,N,AAC,FBS,So.,WR,13,16,485,7
2021,132,Melquan Stovall,Nevada,N,Mountain West,FBS,Jr.,WR,12,56,643,1
2021,120,Melvin Rouse II,Yale,N,Ivy League,FCS,Sr.,DB,10,48,553,2
2019,119,Metrius Fleming,Tennessee Tech,N,OVC,FCS,Fr.,WR,12,47,629,3
2023,139,Micah Davis,Utah St.,N,Mountain West,FBS,Jr.,WR,11,36,628,6
2019,160,Micah Simon,BYU,N,FBS Independent,FBS,Sr.,WR,13,51,616,2
2018,137,Micah Wright,Maine,N,CAA,FCS,Sr.,WR,13,47,539,6
2016,75,Micah Wright,Maine,N,CAA,FCS,Jr.,WR,10,44,688,7
2015,45,Micah Wright,Maine,N,CAA,FCS,So.,WR,11,61,818,5
2018,128,Michael Armstead,San Diego,N,Pioneer,FCS,Jr.,WR,12,24,553,3
2019,11,Michael Bandy,San Diego,N,Pioneer,FCS,Sr.,WR,12,75,1152,12
2018,1,Michael Bandy,San Diego,N,Pioneer,FCS,Jr.,WR,12,88,1698,14
2013,197,Michael Bennett,Georgia,Y,SEC,FBS,Jr.,WR,11,41,538,4
2013,87,Michael Campanaro,Wake Forest,Y,ACC,FBS,Sr.,WR,8,67,803,6
2022,110,Michael Carner,San Diego,N,Pioneer,FCS,Sr.,WR,10,40,602,4
2020,19,Michael Carner,San Diego,N,Pioneer,FCS,Jr.,WR,6,35,538,4
2016,154,Michael Clark,Marshall,N,CUSA,FBS,So.,WR,12,37,632,5
2019,68,Michael Dean,Idaho St.,N,Big Sky,FCS,Sr.,WR,12,49,800,6
2018,34,Michael Dean,Idaho St.,N,Big Sky,FCS,Jr.,WR,11,49,863,10
2017,55,Michael Dean,Idaho St.,N,Big Sky,FCS,So.,RB,11,52,754,8
2019,91,Michael Dereus,Georgetown,N,Patriot,FCS,Sr.,WR,11,41,726,5
2017,67,Michael Dereus,Georgetown,N,Patriot,FCS,So.,WR,11,46,696,5
2017,5,Michael Gallup,Colorado St.,N,Mountain West,FBS,Sr.,WR,13,100,1413,7
2016,14,Michael Gallup,Colorado St.,N,Mountain West,FBS,Jr.,WR,13,76,1272,14
2016,91,Michael Henry,Western Mich.,N,MAC,FBS,Sr.,WR,14,63,779,4
2013,395,Michael Hudson,Drake,N,Pioneer,FCS,Jr.,TE,11,30,269,3
2021,65,Michael Jackson,VMI,N,SoCon,FCS,Sr.,WR,11,51,695,6
2020,61,Michael Jackson,VMI,N,SoCon,FCS,Jr.,WR,8,36,394,3
2022,79,Michael Jefferson,Louisiana,N,Sun Belt,FBS,Sr.,WR,12,51,810,7
2020,135,Michael Jefferson,Alabama St.,N,SWAC,FCS,Jr.,WR,5,24,234,2
2019,80,Michael Jefferson,Alabama St.,N,SWAC,FCS,So.,WR,11,49,767,12
2014,54,Michael Johnson,Delaware,N,CAA,FCS,Sr.,WR,12,78,830,1
2013,25,Michael Johnson,Delaware,N,CAA,FCS,Jr.,WR,12,60,1035,9
2019,136,Michael Lawrence,North Texas,N,CUSA,FBS,Sr.,WR,12,48,661,3
2017,63,Michael Lawrence,North Texas,N,CUSA,FBS,So.,WR,14,62,819,4
2022,65,Michael Love,LIU,N,NEC,FCS,Jr.,WR,11,51,702,3
2022,153,Michael Mathison,Western Ky.,N,CUSA,FBS,Jr.,WR,14,52,615,3
2021,102,Michael Mathison,Akron,N,MAC,FBS,Jr.,WR,11,56,706,3
2022,80,Michael Mayer,Notre Dame,N,FBS Independent,FBS,Jr.,TE,12,67,809,9
2021,60,Michael Mayer,Notre Dame,N,FBS Independent,FBS,So.,TE,12,71,840,7
2020,139,Michael Mayer,Notre Dame,Y,ACC,FBS,Fr.,TE,12,42,450,2
2019,10,Michael Pittman,Southern California,Y,Pac-12,FBS,Sr.,WR,13,101,1275,11
2018,94,Michael Pittman,Southern California,Y,Pac-12,FBS,Jr.,WR,11,41,758,6
2013,266,Michael Rector,Stanford,Y,Pac-12,FBS,So.,WR,14,14,431,3
2015,7,Mike Thomas,Southern Miss.,N,CUSA,FBS,Sr.,WR,13,71,1391,14
2015,83,Michael Thomas,Ohio St.,Y,Big Ten,FBS,Jr.,WR,13,56,781,9
2014,70,Michael Thomas,Ohio St.,Y,Big Ten,FBS,So.,WR,15,54,799,9
2014,156,Michael Thomas,Southern Miss.,N,CUSA,FBS,Jr.,WR,12,41,592,5
2021,139,Michael Vice,Samford,N,SoCon,FCS,Jr.,TE,11,44,518,4
2020,92,Michael Vice,Samford,N,SoCon,FCS,So.,TE,7,24,293,1
2019,129,Michael Wilson,Stanford,Y,Pac-12,FBS,So.,WR,12,56,672,5
2017,156,Mikah Holder,San Diego St.,N,Mountain West,FBS,Sr.,WR,13,43,602,2
2016,183,Mikah Holder,San Diego St.,N,Mountain West,FBS,Jr.,WR,13,27,581,5
2013,33,Mike Brooks,SFA,N,Southland,FCS,Sr.,WR,12,76,985,11
2019,190,Mike Carrigan,Kent St.,N,MAC,FBS,Sr.,WR,11,42,569,5
2018,166,Mike Carrigan,Kent St.,N,MAC,FBS,Jr.,WR,12,45,597,5
2013,115,Mike Davis,Texas,Y,Big 12,FBS,Sr.,WR,12,51,727,8
2013,344,Mike Davis,South Carolina,Y,SEC,FBS,So.,RB,12,34,352,0
2014,29,Mike Dudek,Illinois,Y,Big Ten,FBS,Fr.,WR,13,76,1038,6
2013,299,Mike Duncan,Lafayette,N,Patriot,FCS,Jr.,WR,12,29,346,4
2013,389,Mike Estes,Gardner-Webb,N,Big South,FCS,Fr.,TE,12,18,278,1
2013,7,Mike Evans,Texas A&M,Y,SEC,FBS,So.,WR,13,69,1394,12
2013,42,Mike Fess,Holy Cross,N,Patriot,FCS,Sr.,WR,12,75,893,9
2017,177,Mike Gesicki,Penn St.,Y,Big Ten,FBS,Sr.,TE,13,57,563,9
2016,132,Mike Gesicki,Penn St.,Y,Big Ten,FBS,Jr.,TE,14,48,679,5
2021,193,Mike Harley,Miami (FL),Y,ACC,FBS,Sr.,WR,12,57,543,5
2020,24,Mike Harley,Miami (FL),Y,ACC,FBS,Sr.,WR,11,57,799,7
2013,332,Mike Jones,Southern U.,N,SWAC,FCS,So.,WR,13,12,319,4
2013,174,Mike McLafferty,Monmouth,N,FCS Independent,FCS,Sr.,TE,9,24,501,4
2016,35,Mike Sharp,Southern Utah,N,Big Sky,FCS,Sr.,WR,11,75,898,12
2015,35,Mike Sharp,Southern Utah,N,Big Sky,FCS,Jr.,WR,12,54,889,13
2014,163,Mike Sharp,Southern Utah,N,Big Sky,FCS,So.,WR,12,34,511,4
2016,11,Mike Williams,Clemson,Y,ACC,FBS,Jr.,WR,15,98,1361,11
2014,30,Mike Williams,Clemson,Y,ACC,FBS,So.,WR,13,57,1030,6
2013,383,Mike Williams,Clemson,Y,ACC,FBS,Fr.,WR,13,20,316,3
2020,61,Michael Woods II,Arkansas,Y,SEC,FBS,Jr.,WR,10,32,619,5
2013,348,Mike Yonker,Stetson,N,Pioneer,FCS,Fr.,RB,11,18,308,0
2013,140,Mikel Hunter,Charlotte,N,FCS Independent,FCS,Sr.,WR,11,45,551,2
2018,64,Miles Boykin,Notre Dame,N,FBS Independent,FBS,Sr.,WR,13,59,872,8
2023,145,Miles Cross,Ohio,N,MAC,FBS,Jr.,WR,11,47,617,5
2022,187,Miles Cross,Ohio,N,MAC,FBS,So.,WR,14,47,560,3
2013,349,Miles Osei,Illinois,Y,Big Ten,FBS,Sr.,WR,12,35,349,1
2016,96,Miles Thompson,Indiana St.,N,MVFC,FCS,Jr.,WR,10,37,605,6
2013,43,Milton Williams,Delaware St.,N,MEAC,FCS,Jr.,WR,11,58,888,5
2014,123,Milton Williams III,Delaware St.,N,MEAC,FCS,Sr.,WR,12,50,586,5
2021,95,Milton Wright,Purdue,Y,Big Ten,FBS,Jr.,WR,12,57,732,7
2015,113,Mitch Griebel,Montana St.,N,Big Sky,FCS,Sr.,WR,11,52,544,2
2019,128,Mitch Gueller,Idaho St.,N,Big Sky,FCS,Sr.,WR,12,44,610,4
2018,7,Mitch Gueller,Idaho St.,N,Big Sky,FCS,Jr.,WR,11,62,1259,9
2017,38,Mitch Gueller,Idaho St.,N,Big Sky,FCS,So.,WR,9,36,871,8
2015,102,Mitch Mathews,BYU,N,FBS Independent,FBS,Sr.,WR,13,54,737,11
2014,49,Mitch Mathews,BYU,N,FBS Independent,FBS,Jr.,WR,13,73,922,9
2013,299,Mitch Mathews,BYU,N,FBS Independent,FBS,So.,WR,9,23,397,4
2022,110,Mitch Roberts,Montana,N,Big Sky,FCS,Sr.,WR,13,52,602,5
2021,69,Mitch Roberts,Montana,N,Big Sky,FCS,Jr.,WR,13,55,683,1
2017,144,Mitchell Herbert,Montana St.,N,Big Sky,FCS,Sr.,WR,11,41,497,5
