Season,Rank,Player,School,Power5,Conference,Division,Cl,Pos,G,Rec,Rec Yds,Rec TD
2014,27,Shaydon Kehano,Weber St.,N,Big Sky,FCS,Sr.,WR,12,82,976,8
2016,47,Shelton Gibson,West Virginia,Y,Big 12,FBS,Jr.,WR,13,43,951,8
2015,59,Shelton Gibson,West Virginia,Y,Big 12,FBS,So.,WR,13,37,887,9
2019,132,Shemar Thornton,FIU,N,CUSA,FBS,Jr.,WR,13,51,668,5
2020,57,Shi Smith,South Carolina,Y,SEC,FBS,Sr.,WR,9,57,633,4
2018,132,Shi Smith,South Carolina,Y,SEC,FBS,So.,WR,12,45,673,4
2022,42,Shocky Jacques-Louis,Akron,N,MAC,FBS,Sr.,WR,12,74,931,2
2018,141,Shun Brown,Arizona,Y,Pac-12,FBS,Sr.,WR,12,64,655,6
2017,173,Shun Brown,Arizona,Y,Pac-12,FBS,Jr.,WR,13,43,573,6
2019,43,Siaosi Mariner,Utah St.,N,Mountain West,FBS,Sr.,WR,13,63,987,10
2023,86,Silas Bolden,Oregon St.,Y,Pac-12,FBS,Jr.,WR,13,54,746,5
2020,82,Simi Fehoko,Stanford,Y,Pac-12,FBS,Jr.,WR,6,37,574,3
2019,195,Simi Fehoko,Stanford,Y,Pac-12,FBS,So.,WR,12,24,566,6
2017,57,Simmie Cobbs Jr.,Indiana,Y,Big Ten,FBS,Jr.,WR,12,72,841,8
2015,35,Simmie Cobbs Jr.,Indiana,Y,Big Ten,FBS,So.,WR,13,60,1035,4
2013,134,Simon Heyward,Savannah St.,N,MEAC,FCS,Sr.,WR,12,36,572,3
2013,232,Skyler Ridley,BYU,N,FBS Independent,FBS,Sr.,WR,13,39,469,2
2021,14,Skyy Moore,Western Mich.,N,MAC,FBS,So.,WR,12,95,1292,9
2020,187,Skyy Moore,Western Mich.,N,MAC,FBS,So.,WR,5,25,388,3
2019,86,Skyy Moore,Western Mich.,N,MAC,FBS,Fr.,WR,13,51,802,3
2023,73,Smoke Harris,Louisiana Tech,N,CUSA,FBS,Sr.,WR,12,83,796,4
2022,140,Smoke Harris,Louisiana Tech,N,CUSA,FBS,Jr.,WR,12,65,635,5
2021,85,Smoke Harris,Louisiana Tech,N,CUSA,FBS,So.,WR,12,71,756,6
2023,67,Solomon Davis,Valparaiso,N,Pioneer,FCS,Sr.,WR,11,50,661,6
2022,56,Solomon Davis,Valparaiso,N,Pioneer,FCS,Jr.,WR,12,43,748,4
2013,185,Solomon Patton,Florida,Y,SEC,FBS,Sr.,WR,12,44,556,6
2016,46,Spearman Robinson,Western Caro.,N,SoCon,FCS,Sr.,WR,11,49,799,4
2014,129,Spearman Robinson,Western Caro.,N,SoCon,FCS,So.,WR,12,45,571,11
2014,161,Speedy Noil,Texas A&M,Y,SEC,FBS,---,,12,46,583,5
2014,192,Spencer Davis,Southeast Mo. St.,N,OVC,FCS,Sr.,WR,12,35,464,3
2013,359,Spencer Davis,Southeast Mo. St.,N,OVC,FCS,Jr.,WR,12,35,302,3
2013,371,Spencer Harris,Illinois,Y,Big Ten,FBS,Sr.,WR,12,39,328,1
2014,42,Spencer Kulcsar,Penn,N,Ivy League,FCS,Sr.,RB,10,83,889,4
2018,32,Spencer Schnell,Illinois St.,N,MVFC,FCS,Sr.,WR,11,65,872,9
2017,71,Spencer Schnell,Illinois St.,N,MVFC,FCS,Jr.,WR,11,51,679,4
2014,169,Spencer Wilkins,Towson,N,CAA,FCS,Sr.,WR,12,45,500,2
2013,89,Spencer Wilkins,Towson,N,CAA,FCS,Jr.,WR,9,40,691,4
2023,70,Squirrel White,Tennessee,Y,SEC,FBS,So.,WR,13,67,803,2
2015,131,Stacey Smith,Western Ill.,N,MVFC,FCS,Fr.,WR,13,37,493,4
2020,112,Stacy Chukwumezie,Northern Ariz.,N,Big Sky,FCS,Sr.,WR,5,16,270,1
2019,33,Stacy Chukwumezie,Northern Ariz.,N,Big Sky,FCS,Jr.,WR,12,50,963,8
2016,97,Stacy Coley,Miami (FL),Y,ACC,FBS,Sr.,WR,13,63,754,9
2015,124,Stacy Coley,Miami (FL),Y,ACC,FBS,Jr.,WR,11,48,693,4
2013,171,Stacy Coley,Miami (FL),Y,ACC,FBS,Fr.,WR,12,33,591,7
2021,91,Stanley Berryhill III,Arizona,Y,Pac-12,FBS,Jr.,WR,12,83,744,1
2018,36,Stanley Morgan Jr.,Nebraska,Y,Big Ten,FBS,Sr.,WR,12,70,1004,7
2017,31,Stanley Morgan Jr.,Nebraska,Y,Big Ten,FBS,Jr.,WR,11,61,986,10
2017,84,Steffon Hill,Western Caro.,N,SoCon,FCS,Sr.,WR,11,44,644,5
2014,73,Stefon Diggs,Maryland,Y,Big Ten,FBS,Jr.,WR,10,62,792,5
2013,173,Stefon Diggs,Maryland,Y,ACC,FBS,So.,WR,7,34,587,3
2014,123,Stephen Anderson,California,Y,Pac-12,FBS,Jr.,TE,10,46,661,5
2013,9,Stephen Barnette,Richmond,N,CAA,FCS,Jr.,WR,12,77,1197,5
2018,73,Stephen Carlson,Princeton,N,Ivy League,FCS,Sr.,WR,10,51,683,5
2017,26,Stephen Carlson,Princeton,N,Ivy League,FCS,Jr.,WR,10,71,935,11
2019,136,Stephen Dennis,Butler,N,Pioneer,FCS,Sr.,WR,12,41,593,3
2018,109,Stephen Dennis,Butler,N,Pioneer,FCS,Jr.,WR,11,47,586,5
2018,148,Stephen Houzah,Mercer,N,SoCon,FCS,Sr.,WR,11,30,504,4
2017,168,Stephen Louis,NC State,Y,ACC,FBS,Jr.,WR,11,37,583,2
2016,133,Stephen Louis,NC State,Y,ACC,FBS,So.,WR,13,35,678,2
2016,17,Stephen Miller,Northern Colo.,N,Big Sky,FCS,Sr.,WR,11,56,1007,5
2014,123,Stephen Miller,Northern Colo.,N,Big Sky,FCS,So.,WR,11,45,586,3
2019,105,Stephon Robinson,Kansas,Y,Big 12,FBS,Jr.,WR,12,45,727,8
2021,143,Stephon Robinson Jr.,Northwestern,Y,Big Ten,FBS,Sr.,WR,11,46,625,2
2013,338,Sterling Griffin,Louisiana Tech,N,CUSA,FBS,Sr.,WR,12,33,357,2
2015,13,Sterling Shepard,Oklahoma,Y,Big 12,FBS,Sr.,WR,13,86,1288,11
2014,41,Sterling Shepard,Oklahoma,Y,Big 12,FBS,Jr.,WR,12,51,970,5
2013,165,Sterling Shepard,Oklahoma,Y,Big 12,FBS,So.,WR,12,51,603,7
2018,100,Steve Farrell,Penn,N,Ivy League,FCS,Sr.,WR,10,46,608,2
2013,44,Steve Hull,Illinois,Y,Big Ten,FBS,Sr.,WR,12,59,993,7
2017,7,Steve Ishmael,Syracuse,Y,ACC,FBS,Sr.,WR,12,105,1347,7
2016,194,Steve Ishmael,Syracuse,Y,ACC,FBS,Jr.,WR,11,48,559,1
2015,194,Steve Ishmael,Syracuse,Y,ACC,FBS,So.,WR,12,39,570,7
2021,113,Steve Jenkins,UNLV,N,Mountain West,FBS,Jr.,WR,12,46,694,4
2018,50,Steven Burdette,Stetson,N,Pioneer,FCS,Jr.,WR,9,52,769,10
2018,26,Steven Doran,Drake,N,Pioneer,FCS,Sr.,WR,11,54,920,12
2017,46,Steven Doran,Drake,N,Pioneer,FCS,Jr.,WR,10,39,790,8
2017,24,Steven Dunbar,Houston,N,AAC,FBS,Sr.,WR,12,76,1070,3
2016,127,Steven Dunbar,Houston,N,AAC,FBS,Jr.,WR,13,53,692,5
2023,28,Steven McBride,Hawaii,N,Mountain West,FBS,Sr.,WR,13,63,1024,9
2017,125,Steven McIntosh,Mississippi Val.,N,SWAC,FCS,Jr.,WR,11,39,532,2
2017,131,Steven Mitchell,Southern California,Y,Pac-12,FBS,Sr.,WR,12,41,644,4
2019,64,Steven Newbold,Tennessee St.,N,OVC,FCS,Sr.,WR,12,59,823,6
2017,87,Steven Newbold,Tennessee St.,N,OVC,FCS,So.,WR,11,34,627,4
2016,47,Steven Newbold,Tennessee St.,N,OVC,FCS,Fr.,WR,11,41,784,6
2014,200,Steven Scheu,Vanderbilt,Y,SEC,FBS,Jr.,TE,12,39,525,4
2017,58,Steven Sims Jr.,Kansas,Y,Big 12,FBS,Jr.,WR,12,59,839,6
2016,69,Steven Sims Jr.,Kansas,Y,Big 12,FBS,So.,WR,12,72,859,7
2013,359,Stewart Hartman,Howard,N,MEAC,FCS,Jr.,WR,11,30,302,3
2013,259,Storm Woods,Oregon St.,Y,Pac-12,FBS,So.,RB,11,47,440,1
2013,143,T George,Alcorn,N,SWAC,FCS,Fr.,DB,9,44,548,2
2018,92,T.J. Hockenson,Iowa,Y,Big Ten,FBS,So.,TE,13,49,760,6
2013,283,T.J. King,UC Davis,N,Big Sky,FCS,Jr.,WR,12,25,356,2
2022,6,T.J. Luther,Gardner-Webb,N,Big South,FCS,Sr.,WR,13,63,1166,8
2018,78,T.J. Rahming,Duke,Y,ACC,FBS,Sr.,WR,13,75,811,8
2017,72,T.J. Rahming,Duke,Y,ACC,FBS,Jr.,WR,13,65,795,2
2016,101,T.J. Rahming,Duke,Y,ACC,FBS,So.,WR,12,70,742,1
2015,193,T.J. Rahming,Duke,Y,ACC,FBS,Fr.,WR,12,43,571,2
2020,180,T.J. Simmons,West Virginia,Y,Big 12,FBS,Sr.,WR,8,23,401,4
2018,126,T.J. Vasher,Texas Tech,Y,Big 12,FBS,So.,WR,11,54,687,7
2017,193,T.J. Vasher,Texas Tech,Y,Big 12,FBS,Fr.,WR,13,29,545,6
2017,115,Tabari Hines,Wake Forest,Y,ACC,FBS,Jr.,WR,13,53,683,7
2023,23,Tahj Washington,Southern California,Y,Pac-12,FBS,Sr.,WR,13,59,1062,8
2022,87,Tahj Washington,Southern California,Y,Pac-12,FBS,Jr.,WR,14,50,785,6
2021,158,Tahj Washington,Southern California,Y,Pac-12,FBS,So.,WR,12,54,602,1
2020,32,Tahj Washington,Memphis,N,AAC,FBS,Fr.,WR,11,43,743,6
2023,94,Tai Felton,Maryland,Y,Big Ten,FBS,Jr.,WR,13,48,723,6
2023,148,Tailique Williams,Georgia St.,N,Sun Belt,FBS,Jr.,WR,13,49,615,6
2017,184,Taivon Jacobs,Maryland,Y,Big Ten,FBS,Sr.,WR,12,47,553,5
2020,35,Taj Harris,Syracuse,Y,ACC,FBS,Jr.,WR,10,58,733,5
2018,186,Taj Harris,Syracuse,Y,ACC,FBS,Fr.,WR,12,40,565,3
2016,121,Taj Williams,TCU,Y,Big 12,FBS,Jr.,WR,13,39,702,5
2015,12,Tajae Sharpe,Massachusetts,N,MAC,FBS,Sr.,WR,12,111,1319,5
2014,10,Tajae Sharpe,Massachusetts,N,MAC,FBS,Jr.,WR,12,85,1281,7
2013,127,Tajae Sharpe,Massachusetts,N,MAC,FBS,So.,WR,12,61,680,4
2023,63,Takairee Kenebrew,North Ala.,N,ASUN,FCS,Sr.,WR,10,42,669,10
2022,89,Takairee Kenebrew,North Ala.,N,ASUN,FCS,Jr.,WR,11,29,649,8
2021,10,Talolo Limu-Jones,Eastern Wash.,N,Big Sky,FCS,Sr.,WR,11,70,1107,6
2020,7,Talolo Limu-Jones,Eastern Wash.,N,Big Sky,FCS,Sr.,WR,7,48,759,4
2019,142,Talolo Limu-Jones,Eastern Wash.,N,Big Sky,FCS,Jr.,WR,12,24,577,7
2019,199,Talon Shumway,BYU,N,FBS Independent,FBS,Sr.,WR,13,43,561,4
2019,16,Tamorrion Terry,Florida St.,Y,ACC,FBS,So.,WR,13,60,1188,9
2018,101,Tamorrion Terry,Florida St.,Y,ACC,FBS,Fr.,WR,12,35,744,8
2018,93,Tamrick Pace,SFA,N,Southland,FCS,Jr.,WR,9,42,623,7
2017,81,Tamrick Pace,SFA,N,Southland,FCS,So.,WR,11,53,645,5
2016,43,Tamrick Pace,SFA,N,Southland,FCS,Fr.,WR,11,52,836,8
2013,34,Tanner Bleskin,Montana St.,N,Big Sky,FCS,Sr.,WR,12,64,969,3
2021,57,Tanner Conner,Idaho St.,N,Big Sky,FCS,Sr.,WR,11,42,735,4
2020,8,Tanner Conner,Idaho St.,N,Big Sky,FCS,Sr.,WR,6,34,685,3
2019,70,Tanner Conner,Idaho St.,N,Big Sky,FCS,Jr.,WR,11,48,791,8
2016,12,Tanner Gentry,Wyoming,N,Mountain West,FBS,Sr.,WR,14,72,1326,14
2015,128,Tanner Gentry,Wyoming,N,Mountain West,FBS,Jr.,WR,7,37,678,4
2013,320,Tanner Gentry,Wyoming,N,Mountain West,FBS,Fr.,WR,12,39,376,0
2022,141,Tanner Knue,Eastern Mich.,N,MAC,FBS,Sr.,WR,12,45,632,9
2020,166,Tanner Knue,Eastern Mich.,N,MAC,FBS,So.,WR,6,27,413,4
2014,49,Tanner Kuramata,Valparaiso,N,Pioneer,FCS,Sr.,WR,11,67,864,2
2013,46,Tanner Kuramata,Valparaiso,N,Pioneer,FCS,Jr.,WR,11,56,884,8
2015,57,Tanner Napier,Morehead St.,N,Pioneer,FCS,Sr.,WR,11,56,760,5
2014,134,Tanner Napier,Morehead St.,N,Pioneer,FCS,Jr.,WR,12,36,563,4
2013,238,Tanner Riley,Indiana St.,N,MVFC,FCS,Sr.,WR,12,42,397,1
2015,107,Taquan Mizzell,Virginia,Y,ACC,FBS,Jr.,RB,12,75,721,4
2015,68,Taquan West,South Carolina St.,N,MEAC,FCS,Sr.,WR,11,45,695,5
2014,189,Taquan West,South Carolina St.,N,MEAC,FCS,Jr.,WR,11,32,471,6
2019,109,Tarique Milton,Iowa St.,Y,Big 12,FBS,So.,WR,13,35,722,3
2017,131,Taronn Selby,Delaware St.,N,MEAC,FCS,Jr.,WR,11,35,521,2
2021,175,Tauskie Dove,Missouri,Y,SEC,FBS,Jr.,WR,13,38,576,0
2017,59,Tavares Martin Jr.,Washington St.,Y,Pac-12,FBS,Jr.,WR,11,70,831,9
2016,108,Tavares Martin Jr.,Washington St.,Y,Pac-12,FBS,So.,WR,13,64,728,7
2013,324,Tavarese Maye,ULM,N,Sun Belt,FBS,Sr.,WR,8,42,370,1
2013,160,Tavarres Jefferson,Middle Tenn.,N,CUSA,FBS,Sr.,WR,13,46,611,5
2013,219,Tavoris Doss,Alcorn,N,SWAC,FCS,Sr.,WR,12,32,418,3
2021,34,Tay Martin,Oklahoma St.,Y,Big 12,FBS,Sr.,WR,13,80,1046,10
2019,196,Tay Martin,Washington St.,Y,Pac-12,FBS,Jr.,WR,13,43,564,4
2014,113,Tay Willis,Southern Ill.,N,MVFC,FCS,Sr.,WR,12,47,624,6
2022,154,Taye Barber,TCU,Y,Big 12,FBS,Sr.,WR,15,37,613,5
2016,57,Taylor Barthelette,Bryant,N,NEC,FCS,Sr.,WR,11,47,763,8
2022,4,Taylor Grimes,UIW,N,Southland,FCS,Sr.,WR,14,83,1221,15
2021,8,Taylor Grimes,UIW,N,Southland,FCS,Jr.,WR,12,87,1145,15
2023,145,Taylor Morin,Wake Forest,Y,ACC,FBS,Jr.,WR,12,41,617,2
2022,178,Taylor Morin,Wake Forest,Y,ACC,FBS,So.,WR,13,47,575,9
2021,146,Taylor Morin,Wake Forest,Y,ACC,FBS,Fr.,WR,14,43,621,5
2020,175,Taylor Morin,Wake Forest,Y,ACC,FBS,Fr.,WR,9,32,405,3
2019,100,Taysir Mack,Pittsburgh,Y,ACC,FBS,Jr.,WR,12,63,736,3
2018,196,Taysir Mack,Pittsburgh,Y,ACC,FBS,So.,WR,12,25,557,1
2023,187,Tayvion Robinson,Kentucky,Y,SEC,FBS,Sr.,WR,13,41,552,4
2021,184,Tayvion Robinson,Virginia Tech,Y,ACC,FBS,So.,WR,12,44,559,4
2020,70,Tayvion Robinson,Virginia Tech,Y,ACC,FBS,So.,WR,11,38,592,3
2016,3,Taywan Taylor,Western Ky.,N,CUSA,FBS,Sr.,WR,14,98,1730,17
2015,3,Taywan Taylor,Western Ky.,N,CUSA,FBS,Jr.,WR,14,86,1467,17
2014,80,Taywan Taylor,Western Ky.,N,CUSA,FBS,So.,WR,13,45,767,7
2021,92,Te'Vailance Hunt,Arkansas St.,N,Sun Belt,FBS,Jr.,WR,11,51,740,6
2013,14,Tebucky Jones,Fordham,N,Patriot,FCS,Jr.,WR,13,85,1154,5
2014,10,Tebucky Jones,Fordham,N,Patriot,FCS,Sr.,WR,14,78,1202,12
2013,379,Ted Bolser,Indiana,Y,Big Ten,FBS,Sr.,TE,12,35,320,6
2015,61,Teddy Ruben,Troy,N,Sun Belt,FBS,Sr.,WR,12,63,879,9
2018,110,Teddy Veal,Louisiana Tech,N,CUSA,FBS,Sr.,WR,12,70,716,1
2017,39,Teddy Veal,Louisiana Tech,N,CUSA,FBS,Jr.,WR,13,74,950,7
2015,141,Teddy Veal,Tulane,N,AAC,FBS,So.,WR,12,48,644,5
2019,19,Tee Higgins,Clemson,Y,ACC,FBS,Jr.,WR,15,59,1167,13
2018,47,Tee Higgins,Clemson,Y,ACC,FBS,So.,WR,15,59,936,12
2023,55,Tejhaun Palmer,UAB,N,AAC,FBS,Sr.,WR,12,47,858,7
2014,50,Teldrick Morgan,New Mexico St.,N,Sun Belt,FBS,So.,WR,11,75,903,7
2013,71,Tellef Lundevall,Brown,N,Ivy League,FCS,Sr.,WR,10,61,745,4
2013,204,Telvin Brown,Jacksonville St.,N,OVC,FCS,So.,WR,14,34,441,2
2019,150,Tenio Ayeni,Holy Cross,N,Patriot,FCS,Jr.,WR,12,43,568,4
2017,142,Teo Redding,Bowling Green,N,MAC,FBS,Sr.,WR,11,45,624,8
2015,23,Terell Smith,Saint Francis (PA),N,NEC,FCS,Sr.,WR,10,53,920,8
2021,56,Terez Traynor,Idaho,N,Big Sky,FCS,So.,WR,11,50,737,3
2018,64,Terian Goree,SFA,N,Southland,FCS,Sr.,WR,10,64,697,3
2023,114,Terique Owens,Missouri St.,N,MVFC,FCS,Sr.,WR,10,28,528,4
2020,36,Terrace Marshall Jr.,LSU,Y,SEC,FBS,Jr.,WR,7,48,731,10
2019,130,Terrace Marshall Jr.,LSU,Y,SEC,FBS,So.,WR,12,46,671,13
2021,91,Terrance Greene Jr.,Monmouth,N,Big South,FCS,Sr.,WR,10,42,621,5
2020,50,Terrance Greene Jr.,Monmouth,N,Big South,FCS,Sr.,WR,4,23,425,4
2019,45,Terrance Greene Jr.,Monmouth,N,Big South,FCS,Jr.,WR,14,65,916,10
2013,170,Terrance Terry,South Dakota,N,MVFC,FCS,Jr.,WR,12,54,502,3
2020,160,Terrell Jana,Virginia,Y,ACC,FBS,Sr.,WR,10,36,423,1
2019,62,Terrell Jana,Virginia,Y,ACC,FBS,Jr.,WR,14,74,886,3
2023,41,Terrell Vaughn,Utah St.,N,Mountain West,FBS,Sr.,WR,13,89,933,11
2022,148,Terrell Vaughn,Utah St.,N,Mountain West,FBS,Jr.,WR,13,56,624,5
2018,108,Terren Encalade,Tulane,N,AAC,FBS,Sr.,WR,13,44,727,5
2017,89,Terren Encalade,Tulane,N,AAC,FBS,Jr.,WR,12,39,730,4
2016,109,Terrence Alls,James Madison,N,CAA,FCS,Jr.,WR,13,39,575,5
2013,234,Terrence Miller,Arizona,Y,Pac-12,FBS,Sr.,WR,13,40,467,1
2017,135,Terry Godwin,Georgia,Y,SEC,FBS,Jr.,WR,15,38,639,6
2018,118,Terry McLaurin,Ohio St.,Y,Big Ten,FBS,Sr.,WR,14,35,701,11
2015,162,Terry Pettis,Middle Tenn.,N,CUSA,FBS,Jr.,TE,13,29,612,4
2019,139,Terry Williams,UT Martin,N,OVC,FCS,Sr.,WR,12,58,581,3
2018,56,Terry Williams,UT Martin,N,OVC,FCS,Jr.,WR,11,67,736,3
2017,31,Terryon Robinson,Western Caro.,N,SoCon,FCS,Sr.,WR,12,62,896,10
2016,63,Terryon Robinson,Western Caro.,N,SoCon,FCS,Jr.,WR,11,71,738,6
2014,104,Terryon Robinson,Western Caro.,N,SoCon,FCS,So.,WR,11,56,643,1
2013,136,Terryon Robinson,Western Caro.,N,SoCon,FCS,Fr.,WR,12,41,562,2
2023,5,Tetairoa McMillan,Arizona,Y,Pac-12,FBS,So.,WR,13,90,1402,10
2022,113,Tetairoa McMillan,Arizona,Y,Pac-12,FBS,Fr.,WR,12,39,702,8
2015,198,Tevaun Smith,Iowa,Y,Big Ten,FBS,Sr.,WR,12,32,563,3
2014,152,Tevaun Smith,Iowa,Y,Big Ten,FBS,Jr.,WR,13,43,596,3
2013,396,Tevaun Smith,Iowa,Y,Big Ten,FBS,So.,WR,13,24,310,1
2016,126,Tevin McKenzie,Alabama A&M,N,SWAC,FCS,Sr.,WR,11,50,539,1
2015,149,Tevin McKenzie,Alabama A&M,N,SWAC,FCS,Fr.,,10,32,472,4
2013,71,Tevin Reese,Baylor,Y,Big 12,FBS,Sr.,WR,9,38,867,8
2023,11,Tez Johnson,Oregon,Y,Pac-12,FBS,Jr.,WR,14,86,1182,10
2022,64,Tez Johnson,Troy,N,Sun Belt,FBS,So.,WR,13,56,863,4
2021,94,Tez Johnson,Troy,N,Sun Belt,FBS,Fr.,WR,12,67,735,4
2019,189,Thaddeus Moss,LSU,Y,SEC,FBS,Jr.,TE,14,47,570,4
2022,135,Thayer Thomas,NC State,Y,ACC,FBS,Sr.,WR,13,57,642,4
2021,164,Thayer Thomas,NC State,Y,ACC,FBS,Jr.,WR,12,51,596,8
2020,96,Thayer Thomas,NC State,Y,ACC,FBS,Jr.,WR,12,42,529,6
2018,130,Theo Howard,UCLA,Y,Pac-12,FBS,Jr.,WR,12,51,677,4
2017,163,Theo Howard,UCLA,Y,Pac-12,FBS,So.,WR,13,56,594,4
2023,114,Theo Wease,Missouri,Y,SEC,FBS,Sr.,WR,13,49,682,6
2020,94,Theo Wease,Oklahoma,Y,Big 12,FBS,So.,WR,11,37,530,4
2020,56,Thomas Campbell-Clay,Morehead St.,N,Pioneer,FCS,Jr.,WR,7,28,403,4
2013,252,Thomas Carter,Portland St.,N,Big Sky,FCS,So.,WR,12,38,389,1
2015,62,Thomas Duarte,UCLA,Y,Pac-12,FBS,Jr.,TE,13,53,872,10
2014,184,Thomas Duarte,UCLA,Y,Pac-12,FBS,So.,TE,12,28,540,4
2022,122,Thomas Glover,Cornell,N,Ivy League,FCS,Sr.,WR,10,49,550,6
2021,37,Thomas Glover,Cornell,N,Ivy League,FCS,Sr.,WR,10,55,791,4
2019,78,Thomas Gordon,Furman,N,SoCon,FCS,Sr.,WR,13,48,776,5
2017,62,Thomas Gordon,Furman,N,SoCon,FCS,So.,WR,11,39,717,1
2016,91,Thomas Gordon,Furman,N,SoCon,FCS,Fr.,WR,11,43,629,4
2022,69,Thomas Greaney,UAlbany,N,CAA,FCS,Sr.,TE,11,50,693,9
2021,66,Thomas Hennigan,App State,N,Sun Belt,FBS,Sr.,WR,14,60,823,6
2020,62,Thomas Hennigan,App State,N,Sun Belt,FBS,Sr.,WR,12,47,616,3
2019,89,Thomas Hennigan,App State,N,Sun Belt,FBS,Jr.,WR,14,61,773,6
2017,165,Thomas Hennigan,App State,N,Sun Belt,FBS,Fr.,WR,13,45,585,7
2013,290,Thomas Martin,Morgan St.,N,MEAC,FCS,Fr.,WR,12,28,352,0
2017,47,Thomas Owens,FIU,N,CUSA,FBS,Sr.,WR,9,59,887,6
2016,141,Thomas Owens,FIU,N,CUSA,FBS,Jr.,WR,12,47,652,7
2015,146,Thomas Owens,FIU,N,CUSA,FBS,So.,WR,12,51,638,8
2013,332,Thomas Roberson,Tulsa,N,CUSA,FBS,Jr.,WR,8,27,363,4
2016,14,Thomas Sperbeck,Boise St.,N,Mountain West,FBS,Sr.,WR,13,80,1272,9
2015,6,Thomas Sperbeck,Boise St.,N,Mountain West,FBS,Jr.,WR,13,88,1412,8
2014,53,Thomas Sperbeck,Boise St.,N,Mountain West,FBS,So.,WR,14,51,877,3
2022,94,Thyrick Pitts,Delaware,N,CAA,FCS,Sr.,WR,13,57,631,10
2021,77,Thyrick Pitts,Delaware,N,CAA,FCS,Sr.,WR,10,43,669,7
2020,41,Thyrick Pitts,Delaware,N,CAA,FCS,Jr.,WR,8,29,451,3
2019,113,Thyrick Pitts,Delaware,N,CAA,FCS,Jr.,WR,12,41,647,3
2017,101,Tiger Bech,Princeton,N,Ivy League,FCS,So.,WR,10,40,596,2
2016,145,Tim Crawley,San Jose St.,N,Mountain West,FBS,Sr.,WR,12,55,648,3
2020,121,Tim Jones,Southern Miss.,N,CUSA,FBS,Sr.,WR,7,30,480,4
2019,58,Tim Jones,Southern Miss.,N,CUSA,FBS,Jr.,WR,13,73,902,3
2016,117,Tim Patrick,Utah,Y,Pac-12,FBS,Sr.,WR,12,45,711,5
2013,310,Tim Smith,Virginia,Y,ACC,FBS,Sr.,WR,12,26,389,1
2016,114,Tim White,Arizona St.,Y,Pac-12,FBS,Sr.,WR,12,56,713,2
2015,150,Tim White,Arizona St.,Y,Pac-12,FBS,Jr.,WR,13,57,633,8
2020,129,Tim Wilson Jr.,Southeastern La.,N,Southland,FCS,Jr.,WR,6,16,251,4
2018,138,Timmy Hernandez,Oregon St.,Y,Pac-12,FBS,Sr.,WR,12,58,661,3
2014,38,Titus Davis,Central Mich.,N,MAC,FBS,Sr.,WR,10,60,980,13
2013,29,Titus Davis,Central Mich.,N,MAC,FBS,Jr.,WR,11,61,1109,8
2013,30,T.J. Jones,Notre Dame,N,FBS Independent,FBS,Sr.,WR,13,70,1108,9
2013,400,TJ Lowder,FIU,N,CUSA,FBS,So.,WR,12,24,307,3
2014,152,Tobi Antigha,Presbyterian,N,Big South,FCS,Sr.,WR,11,53,529,0
2013,68,Tobi Antigha,Presbyterian,N,Big South,FCS,Jr.,WR,11,54,764,6
2013,187,Tobias Singleton,Jackson St.,N,SWAC,FCS,Jr.,WR,11,30,476,2
2013,258,Todd Gurley,Georgia,Y,SEC,FBS,So.,RB,10,37,441,6
2013,111,Tom Hemmingsen,UC Davis,N,Big Sky,FCS,Sr.,WR,12,60,640,4
2013,381,Tom Judge,Butler,N,Pioneer,FCS,Sr.,WR,11,25,285,2
2017,35,Tom Kennedy,Bryant,N,NEC,FCS,Sr.,WR,11,57,888,9
2014,117,Tommy Hudson,Chattanooga,N,SoCon,FCS,Sr.,WR,12,43,614,6
2014,17,Tommy Shuler,Marshall,N,CUSA,FBS,Sr.,WR,14,92,1138,9
2013,20,Tommy Shuler,Marshall,N,CUSA,FBS,Jr.,WR,14,106,1165,10
2013,117,Tommylee Lewis,NIU,N,MAC,FBS,Jr.,WR,12,86,715,3
2019,115,Tony Brown,Colorado,Y,Pac-12,FBS,Sr.,WR,12,56,707,5
2017,160,Tony Ellison,Arizona,Y,Pac-12,FBS,Jr.,WR,13,37,598,5
2019,157,Tony Gaiter IV,FIU,N,CUSA,FBS,Sr.,WR,13,50,622,4
2013,152,Tony Jones,Northwestern,Y,Big Ten,FBS,Jr.,WR,12,55,630,4
2014,13,Tony Lippett,Michigan St.,Y,Big Ten,FBS,Sr.,WR,13,65,1198,11
2013,156,Tony Lippett,Michigan St.,Y,Big Ten,FBS,Jr.,WR,14,44,613,2
2013,90,Tony McCrea,Southeastern La.,N,Southland,FCS,Sr.,WR,14,40,689,2
2019,147,Tony Nicholson,New Mexico St.,N,FBS Independent,FBS,Sr.,WR,12,60,644,6
2013,367,Tony Pierson,Kansas,Y,Big 12,FBS,Jr.,RB,7,24,333,1
2020,168,Tony Poljan,Virginia,Y,ACC,FBS,Sr.,TE,10,38,411,6
2013,188,Tony Taibi,Valparaiso,N,Pioneer,FCS,Jr.,WR,11,22,475,4
2021,101,Tony Tate,Western Ill.,N,MVFC,FCS,Sr.,WR,11,63,598,3
2020,64,Tony Tate,Western Ill.,N,MVFC,FCS,Sr.,WR,6,36,389,2
2013,35,Torrance Williams,Sam Houston,N,Southland,FCS,Sr.,WR,14,55,964,12
